_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d5163e27828843a1ff"")",BTCUSDT,2024-03-16T11:55:42.000Z,68250.01,68250.01,68250,68250.01,0.1098
"ObjectId(""65f589d5163e27828843a200"")",BTCUSDT,2024-03-16T11:55:43.000Z,68250.01,68250.01,68250,68250.01,0.00575
"ObjectId(""65f589d5163e27828843a201"")",BTCUSDT,2024-03-16T11:55:44.000Z,68250,68250.01,68250,68250.01,0.6102
"ObjectId(""65f589d5163e27828843a202"")",BTCUSDT,2024-03-16T11:55:45.000Z,68250,68250.01,68250,68250,0.00327
"ObjectId(""65f589d5163e27828843a203"")",BTCUSDT,2024-03-16T11:55:46.000Z,68250.01,68250.01,68250,68250,0.10616
"ObjectId(""65f589d5163e27828843a204"")",BTCUSDT,2024-03-16T11:55:47.000Z,68250.01,68250.01,68250.01,68250.01,0.01456
"ObjectId(""65f589d5163e27828843a205"")",BTCUSDT,2024-03-16T11:55:48.000Z,68250.01,68250.01,68250,68250.01,0.466
"ObjectId(""65f589d5163e27828843a206"")",BTCUSDT,2024-03-16T11:55:49.000Z,68250,68250.01,68250,68250.01,0.53893
"ObjectId(""65f589d5163e27828843a207"")",BTCUSDT,2024-03-16T11:55:50.000Z,68250,68250,68250,68250,0.01719
"ObjectId(""65f589d5163e27828843a208"")",BTCUSDT,2024-03-16T11:55:51.000Z,68250,68250,68250,68250,0.12254
"ObjectId(""65f589d5163e27828843a209"")",BTCUSDT,2024-03-16T11:55:52.000Z,68250.01,68250.01,68250,68250,0.22009
"ObjectId(""65f589d5163e27828843a20a"")",BTCUSDT,2024-03-16T11:55:53.000Z,68250,68250.01,68250,68250.01,0.04984
"ObjectId(""65f589d5163e27828843a20b"")",BTCUSDT,2024-03-16T11:55:54.000Z,68250,68250.01,68250,68250.01,1.0011
"ObjectId(""65f589d5163e27828843a20c"")",BTCUSDT,2024-03-16T11:55:55.000Z,68250.01,68250.01,68250,68250,0.03294
"ObjectId(""65f589d5163e27828843a20d"")",BTCUSDT,2024-03-16T11:55:56.000Z,68250,68250.01,68250,68250,0.02709
"ObjectId(""65f589d5163e27828843a20e"")",BTCUSDT,2024-03-16T11:55:57.000Z,68250.01,68250.01,68250,68250.01,0.02857
"ObjectId(""65f589d5163e27828843a20f"")",BTCUSDT,2024-03-16T11:55:58.000Z,68250,68250.01,68250,68250.01,0.00938
"ObjectId(""65f589d5163e27828843a210"")",BTCUSDT,2024-03-16T11:55:59.000Z,68250,68250.01,68250,68250.01,0.75159
"ObjectId(""65f589d5163e27828843a211"")",BTCUSDT,2024-03-16T11:56:00.000Z,68250,68254.02,68250,68254.02,1.3622
"ObjectId(""65f589d5163e27828843a212"")",BTCUSDT,2024-03-16T11:56:01.000Z,68254.02,68254.02,68254.01,68254.02,0.33729
"ObjectId(""65f589d5163e27828843a213"")",BTCUSDT,2024-03-16T11:56:02.000Z,68254.01,68254.01,68254.01,68254.01,0.00087
"ObjectId(""65f589d5163e27828843a214"")",BTCUSDT,2024-03-16T11:56:03.000Z,68254.02,68254.02,68254.01,68254.02,0.00366
"ObjectId(""65f589d5163e27828843a215"")",BTCUSDT,2024-03-16T11:56:04.000Z,68254.01,68256,68254.01,68256,0.70444
"ObjectId(""65f589d5163e27828843a216"")",BTCUSDT,2024-03-16T11:56:05.000Z,68256.01,68256.01,68256,68256,0.10612
"ObjectId(""65f589d5163e27828843a217"")",BTCUSDT,2024-03-16T11:56:06.000Z,68256,68260.82,68256,68260.82,0.48405
"ObjectId(""65f589d5163e27828843a218"")",BTCUSDT,2024-03-16T11:56:07.000Z,68260.83,68264.7,68260.82,68264.7,0.22814
"ObjectId(""65f589d5163e27828843a219"")",BTCUSDT,2024-03-16T11:56:08.000Z,68264.69,68264.69,68264.69,68264.69,0.02616
"ObjectId(""65f589d5163e27828843a21a"")",BTCUSDT,2024-03-16T11:56:09.000Z,68264.69,68264.7,68264.69,68264.7,0.50185
"ObjectId(""65f589d5163e27828843a21b"")",BTCUSDT,2024-03-16T11:56:10.000Z,68264.7,68275.98,68264.7,68275.98,1.51206
"ObjectId(""65f589d5163e27828843a21c"")",BTCUSDT,2024-03-16T11:56:11.000Z,68276.85,68284.17,68276.85,68284.17,1.28286
"ObjectId(""65f589d5163e27828843a21d"")",BTCUSDT,2024-03-16T11:56:12.000Z,68284.17,68284.17,68284.16,68284.17,0.01358
"ObjectId(""65f589d5163e27828843a21e"")",BTCUSDT,2024-03-16T11:56:13.000Z,68284.16,68284.17,68284.16,68284.17,0.23349
"ObjectId(""65f589d5163e27828843a21f"")",BTCUSDT,2024-03-16T11:56:14.000Z,68284.17,68284.17,68284.16,68284.16,0.00468
"ObjectId(""65f589d5163e27828843a220"")",BTCUSDT,2024-03-16T11:56:15.000Z,68284.17,68288.34,68284.17,68288.33,0.51272
"ObjectId(""65f589d5163e27828843a221"")",BTCUSDT,2024-03-16T11:56:16.000Z,68288.33,68288.33,68288.33,68288.33,0.40976
"ObjectId(""65f589d5163e27828843a222"")",BTCUSDT,2024-03-16T11:56:17.000Z,68288.33,68288.34,68288.33,68288.34,0.02237
